City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Mocuba,MZ,2021-07-12 15:38:07,-16.8392,36.9856,68.32,75,77,3.49
107,Moche,PE,2021-07-12 15:38:07,-8.1711,-79.0092,66.38,82,98,12.66
108,Kruisfontein,ZA,2021-07-12 15:36:34,-34.0033,24.7314,57.88,68,53,28.83
109,Tuy Hoa,VN,2021-07-12 15:38:08,13.0833,109.3,78.48,89,25,0.25
110,Zacualpan,MX,2021-07-12 15:38:08,21.25,-105.1667,86.72,67,79,1.39
111,Kaitangata,NZ,2021-07-12 15:36:08,-46.2817,169.8464,44.92,82,75,6.02
112,Simao,CN,2021-07-12 15:38:09,22.7886,100.9748,66.99,91,70,3.02
113,Puerto Rico,AR,2021-07-12 15:38:09,-26.796,-55.024,76.24,38,100,5.59
114,Leningradskiy,RU,2021-07-12 15:36:08,69.3833,178.4167,55.54,75,47,6.53
115,Sayyan,YE,2021-07-12 15:38:09,15.1718,44.3244,72.07,33,96,0.78
116,Hobart,AU,2021-07-12 15:36:25,-42.8794,147.3294,52.27,81,100,3.0
117,Luderitz,NA,2021-07-12 15:36:14,-26.6481,15.1594,57.22,80,99,7.16
118,Afua,BR,2021-07-12 15:38:10,-0.1567,-50.3867,86.61,63,59,8.52
119,Le Creusot,FR,2021-07-12 15:38:10,46.8071,4.4163,63.46,98,100,7.23
120,Camacha,PT,2021-07-12 15:38:11,33.0833,-16.3333,70.56,73,40,23.02
121,Wschowa,PL,2021-07-12 15:38:11,51.807,16.3166,81.5,60,53,7.34
122,Coahuayana,MX,2021-07-12 15:36:41,18.7333,-103.6833,78.28,60,89,1.19
123,Bow Island,CA,2021-07-12 15:38:11,49.8668,-111.3684,70.99,60,11,5.75
124,Semme,FR,2021-07-12 15:38:12,46.1963,1.5007,61.21,95,100,6.24
125,Saint Anthony,US,2021-07-12 15:36:31,45.0205,-93.218,78.35,55,1,1.99
126,Kudahuvadhoo,MV,2021-07-12 15:38:12,2.6708,72.8944,82.13,78,20,8.05
127,Sioux Lookout,CA,2021-07-12 15:36:04,50.1001,-91.917,75.58,60,90,5.75
128,Shenxian,CN,2021-07-12 15:38:12,36.2411,115.6672,83.08,79,32,16.17
129,Asfi,MA,2021-07-12 15:38:13,32.2994,-9.2372,76.71,62,99,25.52
130,Chaska,US,2021-07-12 15:38:13,44.7894,-93.6022,79.02,61,1,1.01
131,Laguna,US,2021-07-12 15:37:03,38.421,-121.4238,89.44,75,1,11.5
132,Clovis,US,2021-07-12 15:38:13,36.8252,-119.7029,105.03,36,40,3.44
133,Amapa,BR,2021-07-12 15:36:52,1.0,-52.0,88.68,49,44,5.19
134,Safranbolu,TR,2021-07-12 15:38:14,41.2508,32.6942,76.86,63,0,4.41
135,Cayenne,GF,2021-07-12 15:36:22,4.9333,-52.3333,87.1,73,40,3.0
136,Chokurdakh,RU,2021-07-12 15:37:17,70.6333,147.9167,37.76,64,100,6.22
137,Logansport,US,2021-07-12 15:38:14,40.7545,-86.3567,75.72,89,90,5.75
138,Kupang,ID,2021-07-12 15:38:15,-10.1667,123.5833,74.48,73,1,10.87
139,Coari,BR,2021-07-12 15:35:03,-4.085,-63.1414,90.0,54,70,1.66
140,Lagoa,PT,2021-07-12 15:36:03,39.05,-27.9833,66.87,72,10,15.99
141,Cabo San Lucas,MX,2021-07-12 15:35:59,22.8909,-109.9124,89.19,50,40,1.01
142,Hasaki,JP,2021-07-12 15:33:59,35.7333,140.8333,73.8,94,100,6.69
143,Murray Bridge,AU,2021-07-12 15:38:16,-35.1167,139.2667,54.84,90,75,6.22
144,Sao Joao Da Barra,BR,2021-07-12 15:36:26,-21.6403,-41.0511,78.89,70,4,7.25
145,Oneonta,US,2021-07-12 15:38:16,42.4529,-75.0638,74.8,91,100,2.66
146,Samarai,PG,2021-07-12 15:38:16,-10.6167,150.6667,78.48,86,35,9.93
147,Puerto Baquerizo Moreno,EC,2021-07-12 15:38:17,-0.9,-89.6,74.39,78,40,11.5
148,Aklavik,CA,2021-07-12 15:37:24,68.2191,-135.0107,54.43,53,39,11.52
149,Neiafu,TO,2021-07-12 15:38:17,-18.65,-173.9833,75.88,94,20,5.75
150,Uzhur,RU,2021-07-12 15:38:17,55.3036,89.8339,61.75,84,63,2.33
151,Ribeira Grande,PT,2021-07-12 15:36:18,38.5167,-28.7,72.0,68,20,18.41
152,Ulaangom,MN,2021-07-12 15:38:18,49.9811,92.0667,64.06,64,81,4.81
153,Praia Da Vitoria,PT,2021-07-12 15:36:03,38.7333,-27.0667,71.85,68,40,12.88
154,Walvis Bay,NA,2021-07-12 15:36:38,-22.9575,14.5053,62.1,62,0,19.55
155,Severo-Kurilsk,RU,2021-07-12 15:36:27,50.6789,156.125,51.31,95,65,7.36
