City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
279,Korla,CN,82.02,clear sky,41.7597,86.1469,Gulisitan Hotel
283,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
284,Lake Station,US,76.98,scattered clouds,41.575,-87.2389,Quality Inn & Suites
285,Faanui,PF,79.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
286,Anatoli,GR,78.55,few clouds,39.6389,20.8653,Nantin Hotel Ioannina
290,Steinbach,DE,85.33,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
292,Dingle,PH,77.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
297,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
298,Labrea,BR,89.76,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
304,Bonthe,SL,81.21,light rain,7.5264,-12.505,Bonthe Holiday Village
305,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
307,Aksu,CN,88.23,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
312,Alvaraes,BR,85.87,clear sky,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
313,Zomin,UZ,88.92,few clouds,39.9606,68.3958,Orol hotel
316,Port Said,EG,82.62,clear sky,31.2565,32.2841,Aracan Hotel
318,Laguna,US,80.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
319,Kieta,PG,79.45,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
322,Oyama,JP,84.58,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
323,Golden,US,80.78,clear sky,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
324,Bambey,SN,88.57,broken clouds,14.6955,-16.4493,chez Laurent
326,Sola,VU,79.81,broken clouds,-13.8833,167.55,Leumerus Bungalows
327,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
332,Surt,LY,82.13,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
