,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
206,Esperance,AU,-33.8667,121.9,55.09,80,19,11.52,few clouds
207,Vasudevanallur,IN,9.2333,77.4167,79.2,70,100,9.57,overcast clouds
208,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.8,70,19,10.36,few clouds
209,College,US,64.8569,-147.8028,62.58,74,75,4.61,haze
210,Pangnirtung,CA,66.1451,-65.7125,53.58,68,100,3.47,overcast clouds
211,Cherskiy,RU,68.75,161.3,45.73,61,100,4.65,overcast clouds
212,Mochishche,RU,55.1586,83.1229,62.02,98,100,5.46,overcast clouds
213,Marawi,PH,7.9986,124.2928,70.65,87,100,4.38,moderate rain
214,Tautira,PF,-17.7333,-149.15,71.62,77,100,24.92,moderate rain
215,Owando,CG,-0.4819,15.8999,97.29,24,16,4.29,few clouds
216,Yulara,AU,-25.2406,130.9889,48.04,61,0,4.61,clear sky
217,Topolobampo,MX,25.6,-109.05,82.11,74,92,5.77,overcast clouds
218,Dikson,RU,73.5069,80.5464,35.89,85,21,11.3,few clouds
219,Huntly,GB,57.4474,-2.7861,66.61,78,99,6.33,overcast clouds
220,Kourou,GF,5.1552,-52.6478,87.85,65,82,6.46,broken clouds
221,Malartic,CA,48.1335,-78.1328,71.71,85,33,6.46,scattered clouds
222,Komsomolskiy,UZ,40.4272,71.7189,83.12,44,100,4.61,overcast clouds
223,Kushiro,JP,42.975,144.3747,69.75,82,0,0.27,clear sky
224,Llanes,ES,43.4198,-4.7549,80.28,74,0,8.05,clear sky
225,Lhokseumawe,ID,5.1801,97.1507,80.85,78,66,0.78,broken clouds
226,Grindavik,IS,63.8424,-22.4338,49.55,87,90,8.05,overcast clouds
227,Ribeira Grande,PT,38.5167,-28.7,73.8,68,20,16.11,few clouds
228,Saquena,PE,-4.6667,-73.5167,80.04,77,57,0.85,broken clouds
229,Halifax,CA,44.6453,-63.5724,79.52,67,93,1.01,overcast clouds
230,Byron Bay,AU,-28.65,153.6167,52.72,67,94,5.14,overcast clouds
231,Meiganga,CM,6.5167,14.3,74.68,84,96,6.11,moderate rain
232,Tiarei,PF,-17.5333,-149.3333,71.62,78,100,25.19,moderate rain
233,Hami,CN,42.8,93.45,80.83,32,100,15.01,overcast clouds
234,Lebanon,US,36.2081,-86.2911,78.13,87,90,9.22,overcast clouds
235,Romanovka,RU,51.7443,42.7527,85.75,42,84,4.14,broken clouds
236,Antsohihy,MG,-14.8796,47.9875,82.13,45,65,4.56,broken clouds
237,Barrow,US,71.2906,-156.7887,48.22,93,90,12.66,overcast clouds
238,Sibolga,ID,1.7427,98.7792,76.75,77,36,2.66,scattered clouds
239,Pisco,PE,-13.7,-76.2167,62.65,82,90,4.61,overcast clouds
240,Fandriana,MG,-20.2333,47.3833,58.1,83,51,7.36,broken clouds
241,Grebanu,RO,45.3833,26.9667,90.68,31,1,10.65,clear sky
242,Bundaberg,AU,-24.85,152.35,51.22,62,0,3.44,clear sky
243,Kaspiysk,RU,42.8816,47.6392,84.24,74,20,8.99,few clouds
244,Ballina,AU,-28.8667,153.5667,52.79,69,86,4.76,overcast clouds
245,Sergeyevka,KZ,53.88,67.4158,69.19,67,80,4.54,broken clouds
246,Hirara,JP,24.8,125.2833,83.68,81,94,13.89,overcast clouds
247,Acari,PE,-15.4311,-74.6158,69.24,59,21,4.21,few clouds
248,Birchis,RO,45.9667,22.1667,78.24,32,33,6.67,scattered clouds
249,Morehead,US,37.2711,-87.1764,78.15,91,75,0.0,broken clouds
250,Alexandria,EG,31.2156,29.9553,83.86,63,0,12.57,clear sky
251,Makakilo City,US,21.3469,-158.0858,77.32,70,75,4.61,broken clouds
252,Aktash,RU,50.3,87.7333,49.33,63,100,3.65,overcast clouds
253,Arrifes,PT,37.7667,-25.7,70.05,73,20,12.66,few clouds
254,Lensk,RU,60.7253,114.9278,69.62,77,93,5.35,overcast clouds
255,San Cristobal,VE,7.7669,-72.225,80.78,57,42,8.37,scattered clouds
